R:A::C:P,0 3 5,1,2 4
0 3 5,0.4782608695652174,0.34782608695652173,0.17391304347826086
1,0.4166666666666667,0.2777777777777778,0.3055555555555556
2 4,0.47619047619047616,0.14285714285714285,0.38095238095238093
