R:A::C:P,0 1,2,3,4,5 6
0 1,0.5,0.27380952380952384,0.20786516853932585,0.29473684210526313,0.1956521739130435
2,0.18237704918032788,0.24404761904761904,0.21910112359550563,0.17894736842105263,0.1956521739130435
3,0.05737704918032787,0.08928571428571429,0.08426966292134831,0.07894736842105263,0.07880434782608696
4,0.02663934426229508,0.09523809523809523,0.07303370786516854,0.08421052631578947,0.04076086956521739
5 6,0.2336065573770492,0.2976190476190476,0.4157303370786517,0.3631578947368421,0.4891304347826087
