R:A::C:P,0 5 6,1,2,3,4
0 5 6,0.2743362831858407,0.20930232558139536,0.1702127659574468,0.25806451612903225,0.3275862068965517
1,0.42920353982300885,0.5,0.425531914893617,0.3064516129032258,0.46551724137931033
2,0.1592920353982301,0.23255813953488372,0.2553191489361702,0.3387096774193548,0.1724137931034483
3,0.06637168141592921,0.03488372093023256,0.09574468085106383,0.08064516129032258,0.034482758620689655
4,0.07079646017699115,0.023255813953488372,0.05319148936170213,0.016129032258064516,0.0
