R:A::C:P,0 5 6,1,2,3,4
0 5 6,0.4732824427480916,0.13740458015267176,0.12213740458015267,0.12213740458015267,0.1450381679389313
1,0.42920353982300885,0.1902654867256637,0.17699115044247787,0.084070796460177,0.11946902654867257
2,0.32432432432432434,0.18018018018018017,0.21621621621621623,0.1891891891891892,0.09009009009009009
3,0.4411764705882353,0.08823529411764706,0.2647058823529412,0.14705882352941177,0.058823529411764705
4,0.6666666666666666,0.08333333333333333,0.20833333333333334,0.041666666666666664,0.0
