R:A::C:P,0 5,1,2,3 4 6
0 5,0.3941176470588235,0.18235294117647058,0.1,0.3235294117647059
1,0.30708661417322836,0.2650918635170604,0.10236220472440945,0.32545931758530183
2,0.26545454545454544,0.18181818181818182,0.14909090909090908,0.4036363636363636
3 4 6,0.2950530035335689,0.09187279151943463,0.1254416961130742,0.4876325088339223
