R:A::C:P,0,1,2,3,4,5,6,p
0,15,7,0,0,0,0,0,0
1,4,10,8,0,1,1,0,3
2,1,5,6,0,0,1,0,0
3,0,0,1,0,0,2,0,0
4,0,2,0,0,0,0,0,0
5,1,0,1,0,1,1,1,1
6,0,0,1,1,2,0,0,2
p,1,2,2,1,0,2,0,0
