R:A::C:P,0,1,2 6,3 4 5
0,0.022988505747126436,0.013649425287356323,0.00646551724137931,0.010057471264367816
1,0.06609195402298851,0.07255747126436782,0.05675287356321839,0.07830459770114942
2 6,0.06321839080459771,0.0617816091954023,0.14870689655172414,0.20474137931034483
3 4 5,0.03017241379310345,0.020114942528735632,0.05100574712643678,0.09339080459770115
