R:A::C:P,0 1 2,3,4 6,5
0 1 2,0.5542857142857143,0.11428571428571428,0.21523809523809523,0.11619047619047619
3,0.42,0.18,0.24,0.16
4 6,0.38926174496644295,0.12751677852348994,0.3422818791946309,0.14093959731543623
5,0.3333333333333333,0.12280701754385964,0.3333333333333333,0.21052631578947367
