                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    0-123-46-5   42.64%     34.00%     31.22%     10.38%  
                    0-1-2346-5   40.72%     33.74%     31.36%     10.79%  
                    0-146-23-5   38.92%     32.73%     30.56%     8.25%   
                    01-23-46-5   38.54%     33.68%     32.75%     11.77%  
                    0-1-235-46   35.08%     34.33%     32.28%     11.52%  
                    0-1-23-456   34.31%     34.73%     32.45%     12.04%  
                    023-1-46-5   34.06%     31.34%     29.91%     7.98%   
                    046-1-23-5   33.80%     32.01%     30.43%     9.32%   
                    0-15-23-46   33.42%     33.07%     31.24%     9.04%   
                    05-1-23-46   31.24%     32.72%     31.05%     10.09%  


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    0-1-23-456   34.31%     34.73%     32.45%     12.04%  
                    0-1-235-46   35.08%     34.33%     32.28%     11.52%  
                    0-123-46-5   42.64%     34.00%     31.22%     10.38%  
                    0-1-2346-5   40.72%     33.74%     31.36%     10.79%  
                    01-23-46-5   38.54%     33.68%     32.75%     11.77%  
                    0-15-23-46   33.42%     33.07%     31.24%     9.04%   
                    0-146-23-5   38.92%     32.73%     30.56%     8.25%   
                    05-1-23-46   31.24%     32.72%     31.05%     10.09%  
                    046-1-23-5   33.80%     32.01%     30.43%     9.32%   
                    023-1-46-5   34.06%     31.34%     29.91%     7.98%   


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    01-23-46-5   38.54%     33.68%     32.75%     11.77%  
                    0-1-23-456   34.31%     34.73%     32.45%     12.04%  
                    0-1-235-46   35.08%     34.33%     32.28%     11.52%  
                    0-1-2346-5   40.72%     33.74%     31.36%     10.79%  
                    0-15-23-46   33.42%     33.07%     31.24%     9.04%   
                    0-123-46-5   42.64%     34.00%     31.22%     10.38%  
                    05-1-23-46   31.24%     32.72%     31.05%     10.09%  
                    0-146-23-5   38.92%     32.73%     30.56%     8.25%   
                    046-1-23-5   33.80%     32.01%     30.43%     9.32%   
                    023-1-46-5   34.06%     31.34%     29.91%     7.98%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                    0-1-23-456   34.31%     34.73%     32.45%     12.04%  
                    01-23-46-5   38.54%     33.68%     32.75%     11.77%  
                    0-1-235-46   35.08%     34.33%     32.28%     11.52%  
                    0-1-2346-5   40.72%     33.74%     31.36%     10.79%  
                    0-123-46-5   42.64%     34.00%     31.22%     10.38%  
                    05-1-23-46   31.24%     32.72%     31.05%     10.09%  
                    046-1-23-5   33.80%     32.01%     30.43%     9.32%   
                    0-15-23-46   33.42%     33.07%     31.24%     9.04%   
                    0-146-23-5   38.92%     32.73%     30.56%     8.25%   
                    023-1-46-5   34.06%     31.34%     29.91%     7.98%   
