R:A::C:P,antag,fool,other,protag
antag,0.018018018018018018,0.014492753623188406,0.05909090909090909,0.08387096774193549
fool,0.009009009009009009,0.18840579710144928,0.01818181818181818,0.012903225806451613
other,0.8918918918918919,0.7681159420289855,0.9090909090909091,0.7677419354838709
protag,0.08108108108108109,0.028985507246376812,0.013636363636363636,0.13548387096774195
