R:A::C:P,0 1 2,3 4,5,6
0 1 2,0.8817733990147784,0.7127659574468085,0.6,0.8518518518518519
3 4,0.059113300492610835,0.1702127659574468,0.16,0.07407407407407407
5,0.029556650246305417,0.05319148936170213,0.12,0.05555555555555555
6,0.029556650246305417,0.06382978723404255,0.12,0.018518518518518517
