R:A::C:P,0 4,1 5,2,3 6
0 4,0.45901639344262296,0.1794871794871795,0.12,0.11764705882352941
1 5,0.4098360655737705,0.5897435897435898,0.48,0.4117647058823529
2,0.08196721311475409,0.20512820512820512,0.32,0.38235294117647056
3 6,0.04918032786885246,0.02564102564102564,0.08,0.08823529411764706
