R:A::C:P,0 4 5 6,1,2,3
0 4 5 6,0.49137931034482757,0.3076923076923077,0.43452380952380953,0.5056179775280899
1,0.25492610837438423,0.43162393162393164,0.23214285714285715,0.19101123595505617
2,0.17857142857142858,0.21367521367521367,0.24404761904761904,0.21910112359550563
3,0.07512315270935961,0.04700854700854701,0.08928571428571429,0.08426966292134831
