R:A::C:P,0 4 5 6,1,2,3
0 4 5 6,0.28663793103448276,0.05172413793103448,0.05244252873563218,0.06465517241379311
1,0.14870689655172414,0.07255747126436782,0.028017241379310345,0.02442528735632184
2,0.10416666666666667,0.035919540229885055,0.029454022988505746,0.028017241379310345
3,0.04382183908045977,0.007902298850574713,0.010775862068965518,0.010775862068965518
