R:A::C:P,0 4 5 6,1,2,3
0 4 5 6,0.6293375394321766,0.11356466876971609,0.11514195583596215,0.14195583596214512
1,0.5433070866141733,0.2650918635170604,0.10236220472440945,0.08923884514435695
2,0.5272727272727272,0.18181818181818182,0.14909090909090908,0.14181818181818182
3,0.5980392156862745,0.10784313725490197,0.14705882352941177,0.14705882352941177
