R:A::C:P,0 1,2 3,4 5,6
0 1,0.4702549575070821,0.21813031161473087,0.19830028328611898,0.11331444759206799
2 3,0.2972972972972973,0.32432432432432434,0.2927927927927928,0.08558558558558559
4 5,0.22916666666666666,0.2604166666666667,0.375,0.13541666666666666
6,0.2636363636363636,0.24545454545454545,0.33636363636363636,0.15454545454545454
