R:A::C:P,0 4,1,2,3 5
0 4,0.391304347826087,0.3333333333333333,0.09090909090909091,0.21428571428571427
1,0.43478260869565216,0.47619047619047616,0.5,0.35714285714285715
2,0.17391304347826086,0.14285714285714285,0.2727272727272727,0.42857142857142855
3 5,0.0,0.047619047619047616,0.13636363636363635,0.0
