R:A::C:P,0 4,1,2,3 5
0 4,0.42857142857142855,0.3333333333333333,0.09523809523809523,0.14285714285714285
1,0.2777777777777778,0.2777777777777778,0.3055555555555556,0.1388888888888889
2,0.21052631578947367,0.15789473684210525,0.3157894736842105,0.3157894736842105
3 5,0.0,0.25,0.75,0.0
