R:A::C:P,0,1 4,2,3 5 6
0,0.4666666666666667,0.25,0.06666666666666667,0.21666666666666667
1 4,0.2722222222222222,0.3277777777777778,0.12777777777777777,0.2722222222222222
2,0.12345679012345678,0.345679012345679,0.16049382716049382,0.37037037037037035
3 5 6,0.10909090909090909,0.2545454545454545,0.2,0.43636363636363634
