R:A::C:P,0,1 3 5 6,2,4
0,0.022988505747126436,0.020833333333333332,0.005028735632183908,0.004310344827586207
1 3 5 6,0.1257183908045977,0.40014367816091956,0.07471264367816093,0.09626436781609195
2,0.028017241379310345,0.11566091954022989,0.029454022988505746,0.02442528735632184
4,0.005747126436781609,0.023706896551724137,0.011494252873563218,0.011494252873563218
