R:A::C:P,0,1 3 5 6,2,4
0,0.12598425196850394,0.03717948717948718,0.041666666666666664,0.031578947368421054
1 3 5 6,0.6889763779527559,0.7141025641025641,0.6190476190476191,0.7052631578947368
2,0.15354330708661418,0.2064102564102564,0.24404761904761904,0.17894736842105263
4,0.031496062992125984,0.04230769230769231,0.09523809523809523,0.08421052631578947
