                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                     012-3-4-5   76.25%     32.77%     38.25%     14.66%  
                     01-23-4-5   63.75%     45.45%     48.16%     32.79%  
                     013-2-4-5   58.75%     37.64%     41.84%     19.55%  
                     015-2-3-4   57.50%     37.81%     43.10%     26.25%  
                     01-24-3-5   53.75%     25.43%     26.95%     7.91%   
                     014-2-3-5   52.50%     23.68%     25.14%     5.20%   
                     01-25-3-4   52.50%     35.91%     41.19%     22.56%  
                     01-2-34-5   52.50%     28.80%     28.12%     8.98%   
                     01-2-35-4   52.50%     36.30%     41.84%     23.55%  
                     01-2-3-45   52.50%     32.14%     32.32%     13.07%  


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                     01-23-4-5   63.75%     45.45%     48.16%     32.79%  
                     015-2-3-4   57.50%     37.81%     43.10%     26.25%  
                     013-2-4-5   58.75%     37.64%     41.84%     19.55%  
                     01-2-35-4   52.50%     36.30%     41.84%     23.55%  
                     01-25-3-4   52.50%     35.91%     41.19%     22.56%  
                     012-3-4-5   76.25%     32.77%     38.25%     14.66%  
                     01-2-3-45   52.50%     32.14%     32.32%     13.07%  
                     01-2-34-5   52.50%     28.80%     28.12%     8.98%   
                     01-24-3-5   53.75%     25.43%     26.95%     7.91%   
                     014-2-3-5   52.50%     23.68%     25.14%     5.20%   


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                     01-23-4-5   63.75%     45.45%     48.16%     32.79%  
                     015-2-3-4   57.50%     37.81%     43.10%     26.25%  
                     013-2-4-5   58.75%     37.64%     41.84%     19.55%  
                     01-2-35-4   52.50%     36.30%     41.84%     23.55%  
                     01-25-3-4   52.50%     35.91%     41.19%     22.56%  
                     012-3-4-5   76.25%     32.77%     38.25%     14.66%  
                     01-2-3-45   52.50%     32.14%     32.32%     13.07%  
                     01-2-34-5   52.50%     28.80%     28.12%     8.98%   
                     01-24-3-5   53.75%     25.43%     26.95%     7.91%   
                     014-2-3-5   52.50%     23.68%     25.14%     5.20%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                     01-23-4-5   63.75%     45.45%     48.16%     32.79%  
                     015-2-3-4   57.50%     37.81%     43.10%     26.25%  
                     01-2-35-4   52.50%     36.30%     41.84%     23.55%  
                     01-25-3-4   52.50%     35.91%     41.19%     22.56%  
                     013-2-4-5   58.75%     37.64%     41.84%     19.55%  
                     012-3-4-5   76.25%     32.77%     38.25%     14.66%  
                     01-2-3-45   52.50%     32.14%     32.32%     13.07%  
                     01-2-34-5   52.50%     28.80%     28.12%     8.98%   
                     01-24-3-5   53.75%     25.43%     26.95%     7.91%   
                     014-2-3-5   52.50%     23.68%     25.14%     5.20%   
