R:A::C:P,0,1 2,3 5,4 6
0,0.43243243243243246,0.35135135135135137,0.10810810810810811,0.10810810810810811
1 2,0.19969512195121952,0.3521341463414634,0.20121951219512196,0.24695121951219512
3 5,0.1717171717171717,0.24242424242424243,0.3181818181818182,0.2676767676767677
4 6,0.12284482758620689,0.20905172413793102,0.3125,0.35560344827586204
