R:A::C:P,0 3 4,1 5,2,6
0 3 4,0.08979885057471264,0.04669540229885057,0.027298850574712645,0.015086206896551725
1 5,0.16235632183908047,0.10847701149425287,0.035201149425287355,0.036637931034482756
2,0.08045977011494253,0.0603448275862069,0.029454022988505746,0.027298850574712645
6,0.11422413793103449,0.07471264367816093,0.028735632183908046,0.06321839080459771
