R:A::C:P,0,1 4,2 6,3,5
0,0.16911764705882354,0.09881422924901186,0.05641025641025641,0.05263157894736842,0.08823529411764706
1 4,0.49264705882352944,0.39920948616600793,0.4205128205128205,0.3684210526315789,0.3333333333333333
2 6,0.25735294117647056,0.383399209486166,0.36923076923076925,0.4105263157894737,0.38235294117647056
3,0.029411764705882353,0.05533596837944664,0.07692307692307693,0.09473684210526316,0.0784313725490196
5,0.051470588235294115,0.06324110671936758,0.07692307692307693,0.07368421052631578,0.11764705882352941
