R:A::C:P,0,1,2,3,4,5,6,p
0,14,6,1,0,0,1,0,0
1,6,9,10,0,1,1,0,0
2,1,6,6,0,0,0,0,0
3,0,1,1,0,0,1,0,0
4,1,0,0,0,0,0,0,1
5,0,1,1,1,1,1,0,1
6,0,0,1,1,2,0,0,2
p,0,2,0,1,0,2,0,3
