                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                      0123-4-5   93.75%     48.70%     54.47%     31.23%  
                      012-3-45   76.25%     38.14%     38.30%     5.42%   
                      012-34-5   76.25%     33.69%     32.70%     -0.04%  
                      0-1234-5   66.25%     39.04%     39.10%     13.13%  
                      0-123-45   65.00%     49.86%     48.13%     22.31%  
                      01-234-5   65.00%     44.82%     43.35%     21.57%  
                      01-23-45   63.75%     55.05%     51.52%     29.59%  
                      01-2-345   52.50%     37.29%     36.74%     11.00%  
                      0-12-345   48.75%     37.77%     36.59%     6.37%   
                      0-1-2345   43.75%     45.96%     42.98%     16.94%  


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                      01-23-45   63.75%     55.05%     51.52%     29.59%  
                      0-123-45   65.00%     49.86%     48.13%     22.31%  
                      0123-4-5   93.75%     48.70%     54.47%     31.23%  
                      0-1-2345   43.75%     45.96%     42.98%     16.94%  
                      01-234-5   65.00%     44.82%     43.35%     21.57%  
                      0-1234-5   66.25%     39.04%     39.10%     13.13%  
                      012-3-45   76.25%     38.14%     38.30%     5.42%   
                      0-12-345   48.75%     37.77%     36.59%     6.37%   
                      01-2-345   52.50%     37.29%     36.74%     11.00%  
                      012-34-5   76.25%     33.69%     32.70%     -0.04%  


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                      0123-4-5   93.75%     48.70%     54.47%     31.23%  
                      01-23-45   63.75%     55.05%     51.52%     29.59%  
                      0-123-45   65.00%     49.86%     48.13%     22.31%  
                      01-234-5   65.00%     44.82%     43.35%     21.57%  
                      0-1-2345   43.75%     45.96%     42.98%     16.94%  
                      0-1234-5   66.25%     39.04%     39.10%     13.13%  
                      012-3-45   76.25%     38.14%     38.30%     5.42%   
                      01-2-345   52.50%     37.29%     36.74%     11.00%  
                      0-12-345   48.75%     37.77%     36.59%     6.37%   
                      012-34-5   76.25%     33.69%     32.70%     -0.04%  


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                      0123-4-5   93.75%     48.70%     54.47%     31.23%  
                      01-23-45   63.75%     55.05%     51.52%     29.59%  
                      0-123-45   65.00%     49.86%     48.13%     22.31%  
                      01-234-5   65.00%     44.82%     43.35%     21.57%  
                      0-1-2345   43.75%     45.96%     42.98%     16.94%  
                      0-1234-5   66.25%     39.04%     39.10%     13.13%  
                      01-2-345   52.50%     37.29%     36.74%     11.00%  
                      0-12-345   48.75%     37.77%     36.59%     6.37%   
                      012-3-45   76.25%     38.14%     38.30%     5.42%   
                      012-34-5   76.25%     33.69%     32.70%     -0.04%  
