R:A::C:P,0,1 2 5,3,4 6
0,0.43243243243243246,0.4189189189189189,0.04054054054054054,0.10810810810810811
1 2 5,0.19680851063829788,0.4321808510638298,0.12234042553191489,0.24867021276595744
3,0.16666666666666666,0.4117647058823529,0.14705882352941177,0.27450980392156865
4 6,0.12284482758620689,0.375,0.14655172413793102,0.35560344827586204
