                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    0126-3-4-5   54.38%     28.44%     26.21%     4.45%   
                    0123-4-5-6   48.20%     31.14%     29.58%     9.55%   
                    0124-3-5-6   48.20%     29.97%     29.42%     9.37%   
                    0125-3-4-6   47.05%     31.01%     29.41%     8.94%   
                    012-3-4-56   45.33%     32.78%     31.40%     11.67%  
                    012-36-4-5   44.54%     31.92%     30.48%     10.37%  
                    012-3-46-5   44.04%     30.34%     29.96%     9.18%   
                    012-35-4-6   42.17%     33.44%     31.43%     12.20%  
                    012-34-5-6   41.67%     31.82%     30.50%     11.02%  
                    012-3-45-6   41.31%     31.38%     30.22%     10.62%  


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    012-35-4-6   42.17%     33.44%     31.43%     12.20%  
                    012-3-4-56   45.33%     32.78%     31.40%     11.67%  
                    012-36-4-5   44.54%     31.92%     30.48%     10.37%  
                    012-34-5-6   41.67%     31.82%     30.50%     11.02%  
                    012-3-45-6   41.31%     31.38%     30.22%     10.62%  
                    0123-4-5-6   48.20%     31.14%     29.58%     9.55%   
                    0125-3-4-6   47.05%     31.01%     29.41%     8.94%   
                    012-3-46-5   44.04%     30.34%     29.96%     9.18%   
                    0124-3-5-6   48.20%     29.97%     29.42%     9.37%   
                    0126-3-4-5   54.38%     28.44%     26.21%     4.45%   


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    012-35-4-6   42.17%     33.44%     31.43%     12.20%  
                    012-3-4-56   45.33%     32.78%     31.40%     11.67%  
                    012-34-5-6   41.67%     31.82%     30.50%     11.02%  
                    012-36-4-5   44.54%     31.92%     30.48%     10.37%  
                    012-3-45-6   41.31%     31.38%     30.22%     10.62%  
                    012-3-46-5   44.04%     30.34%     29.96%     9.18%   
                    0123-4-5-6   48.20%     31.14%     29.58%     9.55%   
                    0124-3-5-6   48.20%     29.97%     29.42%     9.37%   
                    0125-3-4-6   47.05%     31.01%     29.41%     8.94%   
                    0126-3-4-5   54.38%     28.44%     26.21%     4.45%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                    012-35-4-6   42.17%     33.44%     31.43%     12.20%  
                    012-3-4-56   45.33%     32.78%     31.40%     11.67%  
                    012-34-5-6   41.67%     31.82%     30.50%     11.02%  
                    012-3-45-6   41.31%     31.38%     30.22%     10.62%  
                    012-36-4-5   44.54%     31.92%     30.48%     10.37%  
                    0123-4-5-6   48.20%     31.14%     29.58%     9.55%   
                    0124-3-5-6   48.20%     29.97%     29.42%     9.37%   
                    012-3-46-5   44.04%     30.34%     29.96%     9.18%   
                    0125-3-4-6   47.05%     31.01%     29.41%     8.94%   
                    0126-3-4-5   54.38%     28.44%     26.21%     4.45%   
