R:A::C:P,0,1,2,3 4 5 6
0,0.022988505747126436,0.013649425287356323,0.005028735632183908,0.011494252873563218
1,0.06609195402298851,0.07255747126436782,0.028017241379310345,0.10704022988505747
2,0.028017241379310345,0.035919540229885055,0.029454022988505746,0.10416666666666667
3 4 5 6,0.0653735632183908,0.04597701149425287,0.05818965517241379,0.30603448275862066
