R:A::C:P,0,1,2 4,3,5 6
0,0.43243243243243246,0.25675675675675674,0.17567567567567569,0.04054054054054054,0.0945945945945946
1,0.24146981627296588,0.2650918635170604,0.2335958005249344,0.08923884514435695,0.17060367454068243
2 4,0.13505747126436782,0.15804597701149425,0.3074712643678161,0.14942528735632185,0.25
3,0.16666666666666666,0.10784313725490197,0.29411764705882354,0.14705882352941177,0.28431372549019607
5 6,0.13552361396303902,0.09856262833675565,0.24435318275154005,0.15195071868583163,0.36960985626283366
