R:A::C:P,0,1,2 4 6,3 5
0,0.07446808510638298,0.02127659574468085,0.0425531914893617,0.02127659574468085
1,0.125,0.08244680851063829,0.17819148936170212,0.05585106382978723
2 4 6,0.034574468085106384,0.05053191489361702,0.1595744680851064,0.05053191489361702
3 5,0.013297872340425532,0.0026595744680851063,0.05053191489361702,0.03723404255319149
