R:A::C:P,0 1 5,2,3 4,6
0 1 5,0.22701149425287356,0.040229885057471264,0.09051724137931035,0.03807471264367816
2,0.08836206896551724,0.029454022988505746,0.05244252873563218,0.027298850574712645
3 4,0.04741379310344827,0.022270114942528736,0.042385057471264365,0.013649425287356323
6,0.10991379310344827,0.028735632183908046,0.07902298850574713,0.06321839080459771
