R:A::C:P,0 4,1,2 3 5 6
0 4,0.4222222222222222,0.21212121212121213,0.10416666666666667
1,0.4,0.6666666666666666,0.3958333333333333
2 3 5 6,0.17777777777777778,0.12121212121212122,0.5
