R:A::C:P,0 5,1,2 3,4,6
0 5,0.048132183908045974,0.022270114942528736,0.028017241379310345,0.014367816091954023,0.009339080459770116
1,0.08405172413793104,0.07255747126436782,0.05244252873563218,0.035919540229885055,0.028735632183908046
2 3,0.07614942528735633,0.04382183908045977,0.07902298850574713,0.035201149425287355,0.036637931034482756
4,0.01221264367816092,0.0035919540229885057,0.020833333333333332,0.011494252873563218,0.004310344827586207
6,0.08405172413793104,0.02586206896551724,0.06824712643678162,0.039511494252873564,0.06321839080459771
