R:A::C:P,0 4 5,1,2,3
0 4 5,0.4230769230769231,0.38095238095238093,0.09090909090909091,0.09090909090909091
1,0.4230769230769231,0.47619047619047616,0.5,0.36363636363636365
2,0.15384615384615385,0.14285714285714285,0.2727272727272727,0.5454545454545454
3,0.0,0.0,0.13636363636363635,0.0
