R:A::C:P,0 4 5,1,2,3
0 4 5,0.5,0.36363636363636365,0.09090909090909091,0.045454545454545456
1,0.3055555555555556,0.2777777777777778,0.3055555555555556,0.1111111111111111
2,0.21052631578947367,0.15789473684210525,0.3157894736842105,0.3157894736842105
3,0.0,0.0,1.0,0.0
