R:A::C:P,0 1 2,3,4,5 6
0 1 2,0.7480719794344473,0.631578947368421,0.5660377358490566,0.5968586387434555
3,0.05398457583547558,0.09473684210526316,0.05660377358490566,0.07329842931937172
4,0.043701799485861184,0.042105263157894736,0.0660377358490566,0.05759162303664921
5 6,0.15424164524421594,0.23157894736842105,0.3113207547169811,0.27225130890052357
