R:A::C:P,0,1,2 5,3,4 6
0,0.3150684931506849,0.1780821917808219,0.2054794520547945,0.0684931506849315,0.2328767123287671
1,0.21428571428571427,0.25,0.21785714285714286,0.11071428571428571,0.20714285714285716
2 5,0.13100436681222707,0.16593886462882096,0.31877729257641924,0.13537117903930132,0.24890829694323144
3,0.08,0.16,0.34,0.18,0.24
4 6,0.12751677852348994,0.12080536912751678,0.28187919463087246,0.12751677852348994,0.3422818791946309
