R:A::C:P,0,1 2 3,4 5 6
0,0.3010752688172043,0.10204081632653061,0.125
1 2 3,0.6236559139784946,0.7959183673469388,0.6911764705882353
4 5 6,0.07526881720430108,0.10204081632653061,0.18382352941176472
