R:A::C:P,0,1 2 3,4 5 6
0,0.4666666666666667,0.25,0.2833333333333333
1 2 3,0.21561338289962825,0.4349442379182156,0.34944237918215615
4 5 6,0.14893617021276595,0.3191489361702128,0.5319148936170213
