R:A::C:P,0,1 4,2 5,3 6
0,0.12598425196850394,0.0589622641509434,0.03550295857988166,0.013297872340425532
1 4,0.3937007874015748,0.4056603773584906,0.26331360946745563,0.2473404255319149
2 5,0.2204724409448819,0.25943396226415094,0.28994082840236685,0.2845744680851064
3 6,0.25984251968503935,0.2759433962264151,0.41124260355029585,0.45478723404255317
