R:A::C:P,comedy,history,tragedy
comedy,0.31297709923664124,0.04580152671755725,0.08396946564885496
history,0.03435114503816794,0.20229007633587787,0.022900763358778626
tragedy,0.08015267175572519,0.04198473282442748,0.17557251908396945
