R:A::C:P,0,1 3 5,2,4 6
0,0.029449423815621,0.034571062740076826,0.0076824583866837385,0.02176696542893726
1 3 5,0.09090909090909091,0.22791293213828426,0.06274007682458387,0.11395646606914213
2,0.029449423815621,0.10371318822023047,0.03841229193341869,0.04865556978233035
4 6,0.024327784891165175,0.07426376440460948,0.026888604353393086,0.06530089628681178
