R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,20,13,3,5,8,8,4,5,0,7
1,37,54,21,28,20,23,34,29,1,33
2,12,27,17,24,20,24,9,9,0,30
3,2,5,4,9,3,7,4,7,0,9
4,5,1,8,4,5,8,2,5,0,1
5,4,2,3,7,8,9,9,4,0,11
6,7,13,8,15,22,8,16,12,0,9
7,4,1,0,0,1,0,1,4,0,1
a2,0,1,0,0,0,0,0,0,0,0
p,6,0,3,7,2,4,2,2,0,7
