                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   012-3-4-5-6   52.09%     20.15%     20.59%     4.11%   
                   014-2-3-5-6   42.59%     23.35%     23.30%     5.89%   
                   015-2-3-4-6   41.63%     22.96%     23.07%     5.57%   
                   013-2-4-5-6   41.44%     19.99%     20.86%     2.54%   
                   01-23-4-5-6   41.25%     22.67%     23.51%     7.07%   
                   016-2-3-4-5   39.92%     18.20%     19.00%     1.09%   
                   01-24-3-5-6   38.40%     23.25%     23.19%     6.11%   
                   01-26-3-4-5   38.21%     19.36%     20.26%     3.32%   
                   01-2-35-4-6   38.21%     25.19%     24.74%     8.38%   
                   01-2-3-46-5   38.21%     24.68%     23.90%     7.56%   
                   01-2-3-45-6   38.02%     26.99%     25.70%     9.46%   
                   01-25-3-4-6   37.64%     22.58%     22.72%     5.53%   
                   01-2-36-4-5   37.07%     20.44%     21.17%     4.35%   
                   01-2-3-4-56   36.88%     22.23%     22.30%     5.57%   
                   01-2-34-5-6   36.12%     21.61%     22.15%     5.13%   


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   01-2-3-45-6   38.02%     26.99%     25.70%     9.46%   
                   01-2-35-4-6   38.21%     25.19%     24.74%     8.38%   
                   01-2-3-46-5   38.21%     24.68%     23.90%     7.56%   
                   014-2-3-5-6   42.59%     23.35%     23.30%     5.89%   
                   01-24-3-5-6   38.40%     23.25%     23.19%     6.11%   
                   015-2-3-4-6   41.63%     22.96%     23.07%     5.57%   
                   01-23-4-5-6   41.25%     22.67%     23.51%     7.07%   
                   01-25-3-4-6   37.64%     22.58%     22.72%     5.53%   
                   01-2-3-4-56   36.88%     22.23%     22.30%     5.57%   
                   01-2-34-5-6   36.12%     21.61%     22.15%     5.13%   
                   01-2-36-4-5   37.07%     20.44%     21.17%     4.35%   
                   012-3-4-5-6   52.09%     20.15%     20.59%     4.11%   
                   013-2-4-5-6   41.44%     19.99%     20.86%     2.54%   
                   01-26-3-4-5   38.21%     19.36%     20.26%     3.32%   
                   016-2-3-4-5   39.92%     18.20%     19.00%     1.09%   


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   01-2-3-45-6   38.02%     26.99%     25.70%     9.46%   
                   01-2-35-4-6   38.21%     25.19%     24.74%     8.38%   
                   01-2-3-46-5   38.21%     24.68%     23.90%     7.56%   
                   01-23-4-5-6   41.25%     22.67%     23.51%     7.07%   
                   014-2-3-5-6   42.59%     23.35%     23.30%     5.89%   
                   01-24-3-5-6   38.40%     23.25%     23.19%     6.11%   
                   015-2-3-4-6   41.63%     22.96%     23.07%     5.57%   
                   01-25-3-4-6   37.64%     22.58%     22.72%     5.53%   
                   01-2-3-4-56   36.88%     22.23%     22.30%     5.57%   
                   01-2-34-5-6   36.12%     21.61%     22.15%     5.13%   
                   01-2-36-4-5   37.07%     20.44%     21.17%     4.35%   
                   013-2-4-5-6   41.44%     19.99%     20.86%     2.54%   
                   012-3-4-5-6   52.09%     20.15%     20.59%     4.11%   
                   01-26-3-4-5   38.21%     19.36%     20.26%     3.32%   
                   016-2-3-4-5   39.92%     18.20%     19.00%     1.09%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                   01-2-3-45-6   38.02%     26.99%     25.70%     9.46%   
                   01-2-35-4-6   38.21%     25.19%     24.74%     8.38%   
                   01-2-3-46-5   38.21%     24.68%     23.90%     7.56%   
                   01-23-4-5-6   41.25%     22.67%     23.51%     7.07%   
                   01-24-3-5-6   38.40%     23.25%     23.19%     6.11%   
                   014-2-3-5-6   42.59%     23.35%     23.30%     5.89%   
                   015-2-3-4-6   41.63%     22.96%     23.07%     5.57%   
                   01-2-3-4-56   36.88%     22.23%     22.30%     5.57%   
                   01-25-3-4-6   37.64%     22.58%     22.72%     5.53%   
                   01-2-34-5-6   36.12%     21.61%     22.15%     5.13%   
                   01-2-36-4-5   37.07%     20.44%     21.17%     4.35%   
                   012-3-4-5-6   52.09%     20.15%     20.59%     4.11%   
                   01-26-3-4-5   38.21%     19.36%     20.26%     3.32%   
                   013-2-4-5-6   41.44%     19.99%     20.86%     2.54%   
                   016-2-3-4-5   39.92%     18.20%     19.00%     1.09%   
