R:A::C:P,0,1 5,2,3 4
0,0.36363636363636365,0.375,0.045454545454545456,0.08333333333333333
1 5,0.45454545454545453,0.5,0.5,0.3333333333333333
2,0.18181818181818182,0.125,0.2727272727272727,0.5
3 4,0.0,0.0,0.18181818181818182,0.08333333333333333
