R:A::C:P,0,1 5,2,3 4
0,0.42105263157894735,0.47368421052631576,0.05263157894736842,0.05263157894736842
1 5,0.2702702702702703,0.32432432432432434,0.2972972972972973,0.10810810810810811
2,0.21052631578947367,0.15789473684210525,0.3157894736842105,0.3157894736842105
3 4,0.0,0.0,0.8,0.2
