R:A::C:P,0,1 4,2 3 5 6
0,0.40476190476190477,0.2553191489361702,0.08571428571428572
1 4,0.4523809523809524,0.574468085106383,0.44285714285714284
2 3 5 6,0.14285714285714285,0.1702127659574468,0.4714285714285714
