R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,31,13,5,8,5,4,0,2,0,5
1,46,60,25,45,22,16,29,20,0,17
2,27,27,23,27,17,20,13,1,0,17
3,6,4,8,11,3,5,7,3,0,3
4,3,2,5,5,11,5,4,1,0,3
5,6,4,3,5,11,17,7,2,0,2
6,6,13,3,18,21,14,16,12,0,7
7,2,4,0,0,1,0,1,3,0,1
a2,0,1,0,0,0,0,0,0,0,0
p,6,1,5,4,2,4,2,3,0,6
