R:A::C:P,0,1,2,3,4,5
0,0.0,0.625,0.045454545454545456,0.07692307692307693,0.0,0.6666666666666666
1,0.7777777777777778,0.0,0.7727272727272727,0.3076923076923077,0.0,0.3333333333333333
2,0.2222222222222222,0.3333333333333333,0.0,0.5384615384615384,0.0,0.0
3,0.0,0.0,0.13636363636363635,0.0,0.0,0.0
4,0.0,0.0,0.045454545454545456,0.07692307692307693,0.0,0.0
5,0.0,0.041666666666666664,0.0,0.0,0.0,0.0
