R:A::C:P,0 1 4,2 5,3,6
0 1 4,0.782258064516129,0.6,0.5142857142857142,0.5714285714285714
2 5,0.18548387096774194,0.3,0.2857142857142857,0.39285714285714285
3,0.016129032258064516,0.08333333333333333,0.11428571428571428,0.03571428571428571
6,0.016129032258064516,0.016666666666666666,0.08571428571428572,0.0
