R:A::C:P,0 3 5,1 2 6,4
0 3 5,0.3548387096774194,0.18902439024390244,0.22807017543859648
1 2 6,0.6258064516129033,0.7865853658536586,0.6491228070175439
4,0.01935483870967742,0.024390243902439025,0.12280701754385964
