                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   01-2-3-45-6   38.02%     26.99%     25.70%     9.46%   
                   0-12-3-45-6   34.41%     28.24%     24.74%     8.78%   
                   0-145-2-3-6   32.51%     27.51%     25.33%     7.58%   
                   0-1-23-45-6   28.71%     29.70%     26.18%     10.59%  
                   02-1-3-45-6   28.14%     25.10%     22.61%     5.60%   
                   0-1-245-3-6   27.95%     27.13%     24.08%     7.39%   
                   0-13-2-45-6   27.19%     27.47%     24.38%     6.83%   
                   0-1-2-3-456   27.00%     28.96%     24.91%     9.40%   
                   045-1-2-3-6   26.62%     25.56%     22.90%     6.48%   
                   0-1-2-345-6   26.24%     29.02%     25.24%     9.48%   
                   0-16-2-3-45   25.86%     25.72%     22.39%     5.36%   
                   0-1-26-3-45   25.67%     26.40%     22.93%     6.84%   
                   03-1-2-45-6   24.71%     25.89%     23.08%     6.64%   
                   06-1-2-3-45   24.52%     24.65%     21.84%     5.42%   
                   0-1-2-36-45   24.52%     27.48%     23.84%     7.87%   


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-23-45-6   28.71%     29.70%     26.18%     10.59%  
                   0-1-2-345-6   26.24%     29.02%     25.24%     9.48%   
                   0-1-2-3-456   27.00%     28.96%     24.91%     9.40%   
                   0-12-3-45-6   34.41%     28.24%     24.74%     8.78%   
                   0-145-2-3-6   32.51%     27.51%     25.33%     7.58%   
                   0-1-2-36-45   24.52%     27.48%     23.84%     7.87%   
                   0-13-2-45-6   27.19%     27.47%     24.38%     6.83%   
                   0-1-245-3-6   27.95%     27.13%     24.08%     7.39%   
                   01-2-3-45-6   38.02%     26.99%     25.70%     9.46%   
                   0-1-26-3-45   25.67%     26.40%     22.93%     6.84%   
                   03-1-2-45-6   24.71%     25.89%     23.08%     6.64%   
                   0-16-2-3-45   25.86%     25.72%     22.39%     5.36%   
                   045-1-2-3-6   26.62%     25.56%     22.90%     6.48%   
                   02-1-3-45-6   28.14%     25.10%     22.61%     5.60%   
                   06-1-2-3-45   24.52%     24.65%     21.84%     5.42%   


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-23-45-6   28.71%     29.70%     26.18%     10.59%  
                   01-2-3-45-6   38.02%     26.99%     25.70%     9.46%   
                   0-145-2-3-6   32.51%     27.51%     25.33%     7.58%   
                   0-1-2-345-6   26.24%     29.02%     25.24%     9.48%   
                   0-1-2-3-456   27.00%     28.96%     24.91%     9.40%   
                   0-12-3-45-6   34.41%     28.24%     24.74%     8.78%   
                   0-13-2-45-6   27.19%     27.47%     24.38%     6.83%   
                   0-1-245-3-6   27.95%     27.13%     24.08%     7.39%   
                   0-1-2-36-45   24.52%     27.48%     23.84%     7.87%   
                   03-1-2-45-6   24.71%     25.89%     23.08%     6.64%   
                   0-1-26-3-45   25.67%     26.40%     22.93%     6.84%   
                   045-1-2-3-6   26.62%     25.56%     22.90%     6.48%   
                   02-1-3-45-6   28.14%     25.10%     22.61%     5.60%   
                   0-16-2-3-45   25.86%     25.72%     22.39%     5.36%   
                   06-1-2-3-45   24.52%     24.65%     21.84%     5.42%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-23-45-6   28.71%     29.70%     26.18%     10.59%  
                   0-1-2-345-6   26.24%     29.02%     25.24%     9.48%   
                   01-2-3-45-6   38.02%     26.99%     25.70%     9.46%   
                   0-1-2-3-456   27.00%     28.96%     24.91%     9.40%   
                   0-12-3-45-6   34.41%     28.24%     24.74%     8.78%   
                   0-1-2-36-45   24.52%     27.48%     23.84%     7.87%   
                   0-145-2-3-6   32.51%     27.51%     25.33%     7.58%   
                   0-1-245-3-6   27.95%     27.13%     24.08%     7.39%   
                   0-1-26-3-45   25.67%     26.40%     22.93%     6.84%   
                   0-13-2-45-6   27.19%     27.47%     24.38%     6.83%   
                   03-1-2-45-6   24.71%     25.89%     23.08%     6.64%   
                   045-1-2-3-6   26.62%     25.56%     22.90%     6.48%   
                   02-1-3-45-6   28.14%     25.10%     22.61%     5.60%   
                   06-1-2-3-45   24.52%     24.65%     21.84%     5.42%   
                   0-16-2-3-45   25.86%     25.72%     22.39%     5.36%   
