R:A::C:P,0,1 2,3,4 5 6
0,0.1069182389937107,0.0440251572327044,0.012578616352201259,0.05660377358490566
1 2,0.13836477987421383,0.2578616352201258,0.14465408805031446,0.11320754716981132
3,0.0,0.018867924528301886,0.012578616352201259,0.012578616352201259
4 5 6,0.018867924528301886,0.012578616352201259,0.025157232704402517,0.025157232704402517
