R:A::C:P,0 1,2 3 4,5,6
0 1,0.776595744680851,0.5504587155963303,0.5,0.5357142857142857
2 3 4,0.18085106382978725,0.3761467889908257,0.4375,0.42857142857142855
5,0.02127659574468085,0.045871559633027525,0.0,0.03571428571428571
6,0.02127659574468085,0.027522935779816515,0.0625,0.0
