R:A::C:P,0 1 3 6,2 5,4
0 1 3 6,0.7025462962962963,0.636094674556213,0.6631578947368421
2 5,0.2604166666666667,0.28994082840236685,0.25263157894736843
4,0.037037037037037035,0.07396449704142012,0.08421052631578947
