R:A::C:P,0,1,2 5 6,3 4
0,0.022988505747126436,0.013649425287356323,0.010057471264367816,0.00646551724137931
1,0.06609195402298851,0.07255747126436782,0.07471264367816093,0.0603448275862069
2 5 6,0.07543103448275862,0.07040229885057471,0.2464080459770115,0.15517241379310345
3 4,0.017959770114942528,0.011494252873563218,0.05387931034482758,0.042385057471264365
