R:A::C:P,0 1,2,3,4 5 6
0 1,0.6511627906976745,0.11627906976744186,0.06976744186046512,0.16279069767441862
2,0.2962962962962963,0.3333333333333333,0.18518518518518517,0.18518518518518517
3,0.0,0.2,0.4,0.4
4 5 6,0.25,0.25,0.25,0.25
