R:A::C:P,0 3,1 5,2,4
0 3,0.2727272727272727,0.375,0.18181818181818182,0.0
1 5,0.42424242424242425,0.5,0.5,0.0
2,0.30303030303030304,0.125,0.2727272727272727,0.0
4,0.0,0.0,0.045454545454545456,1.0
