R:A::C:P,0 3,1 5,2,4
0 3,0.1125,0.1125,0.05,0.0
1 5,0.175,0.15,0.1375,0.0
2,0.125,0.0375,0.075,0.0
4,0.0,0.0,0.0125,0.0125
