R:A::C:P,0 5 6,1,2,3,4
0 5 6,0.1214574898785425,0.024291497975708502,0.02834008097165992,0.032388663967611336,0.020242914979757085
1,0.21052631578947367,0.05668016194331984,0.08906882591093117,0.05263157894736842,0.05263157894736842
2,0.08906882591093117,0.032388663967611336,0.04048582995951417,0.032388663967611336,0.024291497975708502
3,0.012145748987854251,0.004048582995951417,0.012145748987854251,0.016194331983805668,0.004048582995951417
4,0.008097165991902834,0.0,0.008097165991902834,0.008097165991902834,0.020242914979757085
