R:A::C:P,0,1 2,3,4 5 6
0,0.5,0.21428571428571427,0.07142857142857142,0.21428571428571427
1 2,0.23809523809523808,0.32142857142857145,0.125,0.31547619047619047
3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
4 5 6,0.16,0.24,0.28,0.32
