R:A::C:P,0,1,2 4 6,3 5
0,0.3230769230769231,0.1724137931034483,0.11764705882352941,0.0784313725490196
1,0.5076923076923077,0.4827586206896552,0.46078431372549017,0.39215686274509803
2 4 6,0.13846153846153847,0.3103448275862069,0.3333333333333333,0.37254901960784315
3 5,0.03076923076923077,0.034482758620689655,0.08823529411764706,0.1568627450980392
